EmptyCells,Recursions
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,20
19,21
20,21
21,24
22,25
23,25
24,30
25,35
26,33
27,34
28,33
29,36
30,37
31,41
32,45
33,69
34,56
35,59
36,63
37,79
38,114
39,90
40,205
41,231
42,176
43,149
44,271
45,246
46,430
47,457
48,691
49,4292
50,1406
51,3845
52,1088
53,7288
54,9532
55,25520
56,37275
57,8657
58,64471
59,1697
60,180284
61,4468
62,238779
63,1021
64,22487
65,2768
66,413
67,363
68,1230
69,1309
70,200
71,312
72,239
73,257
74,247
75,226
76,293
77,274
78,291
79,350
80,343
81,392
