EmptyCells,Changes
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,19
19,20
20,20
21,23
22,24
23,24
24,29
25,34
26,32
27,33
28,32
29,35
30,36
31,40
32,44
33,68
34,55
35,58
36,62
37,78
38,113
39,89
40,204
41,230
42,175
43,148
44,270
45,245
46,429
47,456
48,690
49,4291
50,1405
51,3844
52,1087
53,7287
54,9531
55,25519
56,37274
57,8656
58,64470
59,1696
60,180283
61,4467
62,238778
63,1020
64,22486
65,2767
66,412
67,362
68,1229
69,1308
70,199
71,311
72,238
73,256
74,246
75,225
76,292
77,273
78,290
79,349
80,342
81,391
