EmptyCells,Comparisons
0,0
1,45
2,96
3,155
4,191
5,217
6,282
7,352
8,388
9,436
10,492
11,548
12,594
13,659
14,701
15,739
16,823
17,872
18,1015
19,1038
20,1067
21,1241
22,1284
23,1324
24,1701
25,1981
26,1842
27,1914
28,1786
29,2007
30,2056
31,2384
32,2597
33,4611
34,3466
35,3762
36,3953
37,5163
38,8111
39,6096
40,15369
41,17807
42,12932
43,10919
44,20797
45,18724
46,33577
47,35912
48,55366
49,345253
50,112706
51,320404
52,87127
53,586897
54,770049
55,2329994
56,2920919
57,707002
58,5254849
59,138079
60,14678192
61,355631
62,18726221
63,81340
64,1768687
65,221963
66,31703
67,27431
68,96782
69,101495
70,14077
71,23935
72,17304
73,18170
74,17383
75,15689
76,20540
77,19192
78,20525
79,24862
80,24399
81,28062
