EmptyCells,Time
0,606
1,672
2,548
3,540
4,570
5,517
6,514
7,509
8,573
9,583
10,616
11,487
12,503
13,558
14,599
15,610
16,510
17,505
18,472
19,470
20,484
21,485
22,487
23,509
24,508
25,616
26,512
27,499
28,516
29,554
30,520
31,514
32,521
33,520
34,528
35,553
36,492
37,507
38,461
39,593
40,571
41,591
42,527
43,514
44,552
45,585
46,600
47,608
48,651
49,1179
50,696
51,1234
52,672
53,1590
54,1906
55,4436
56,7022
57,1736
58,9309
59,783
60,25590
61,1197
62,34489
63,707
64,3912
65,926
66,539
67,536
68,648
69,688
70,514
71,519
72,502
73,499
74,551
75,594
76,558
77,523
78,528
79,611
80,630
81,559
