EmptyCells,Recursions
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,19
18,19
19,21
20,21
21,25
22,23
23,26
24,28
25,30
26,33
27,33
28,40
29,42
30,41
31,44
32,50
33,53
34,63
35,67
36,66
37,89
38,92
39,147
40,168
41,101
42,228
43,250
44,224
45,606
46,385
47,785
48,803
49,2090
50,1191
51,2272
52,6157
53,2772
54,6460
55,6723
56,8538
57,2382
58,21643
59,11589
60,4295
61,249909
62,75900
63,4468
64,125648
65,334
66,249
67,1027
68,479
69,1254
70,213
71,555
72,247
73,206
74,271
75,244
76,251
77,310
78,278
79,362
80,346
81,392
