EmptyCells,Changes
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,13
14,14
15,15
16,16
17,20
18,18
19,19
20,21
21,22
22,23
23,25
24,24
25,39
26,34
27,30
28,30
29,39
30,35
31,51
32,78
33,41
34,51
35,95
36,122
37,50
38,83
39,215
40,62
41,57
42,79
43,225
44,279
45,1269
46,858
47,1116
48,3825
49,360
50,158
51,1909
52,741
53,1561
54,5049
55,146
56,752
57,62
58,616
59,9984742
60,233
61,1515
62,353
63,298
64,422
65,2916
66,173
67,214
68,177
69,174
70,254
71,1562
72,298
73,152
74,227
75,105
76,275
77,384
78,308
79,388
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,14
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,23
20,20
21,21
22,22
23,23
24,28
25,34
26,26
27,33
28,30
29,51
30,30
31,50
32,64
33,94
34,89
35,48
36,55
37,73
38,65
39,62
40,67
41,81
42,43
43,198
44,136
45,247
46,141
47,252
48,251
49,2170
50,1005
51,712
52,274
53,208
54,647
55,259
56,588
57,78
58,159
59,84330
60,44221
61,115
62,168
63,278
64,201
65,147
66,266
67,320
68,413
69,188
70,354
71,301
72,219
73,152
74,301
75,180
76,383
77,308
78,338
79,364
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,15
15,15
16,16
17,18
18,19
19,27
20,20
21,22
22,23
23,23
24,28
25,27
26,28
27,41
28,32
29,29
30,31
31,43
32,36
33,101
34,54
35,56
36,38
37,121
38,41
39,43
40,87
41,54
42,85
43,95
44,145
45,232
46,2229
47,623
48,3322
49,71
50,260
51,173
52,2270
53,10455
54,664
55,115
56,474
57,45191
58,82
59,2738
60,67
61,3816
62,315
63,777
64,160
65,293
66,170
67,269
68,155
69,170
70,204
71,190
72,96
73,374
74,371
75,162
76,337
77,307
78,388
79,305
80,274
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,13
12,12
13,13
14,14
15,15
16,18
17,17
18,19
19,19
20,25
21,23
22,40
23,26
24,28
25,28
26,32
27,38
28,28
29,29
30,45
31,32
32,35
33,45
34,51
35,37
36,128
37,37
38,56
39,118
40,66
41,151
42,66
43,189
44,108
45,797
46,715
47,160
48,4124
49,942
50,274
51,321
52,143042
53,51408
54,325
55,73
56,716
57,161
58,103
59,210
60,128
61,191
62,305
63,563
64,186
65,619
66,147
67,95
68,402
69,96
70,117
71,160
72,195
73,174
74,384
75,358
76,381
77,190
78,178
79,389
80,206
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,16
16,16
17,17
18,19
19,19
20,20
21,21
22,24
23,26
24,36
25,28
26,33
27,27
28,29
29,34
30,31
31,31
32,38
33,47
34,37
35,35
36,38
37,51
38,78
39,47
40,1177
41,137
42,51
43,51
44,233
45,7165
46,437
47,1234
48,4213
49,1124
50,820
51,593
52,125
53,214
54,212
55,3105
56,12046
57,245
58,166
59,458
60,539
61,1792
62,106
63,149
64,190
65,344
66,131
67,148
68,192
69,97
70,161
71,148
72,419
73,190
74,371
75,291
76,227
77,229
78,335
79,159
80,337
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,14
13,13
14,14
15,15
16,16
17,17
18,19
19,19
20,20
21,21
22,22
23,26
24,24
25,28
26,37
27,27
28,31
29,42
30,32
31,33
32,46
33,48
34,41
35,69
36,42
37,59
38,55
39,139
40,53
41,44
42,170
43,519
44,63
45,310
46,179
47,2398
48,713
49,73
50,770
51,134
52,144
53,2042
54,96920
55,54227
56,310
57,315313
58,120
59,94
60,174
61,576
62,6913
63,905
64,291
65,587
66,111
67,150
68,146
69,450
70,423
71,295
72,150
73,267
74,149
75,269
76,154
77,387
78,196
79,389
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,13
14,14
15,16
16,16
17,18
18,26
19,19
20,24
21,21
22,22
23,24
24,24
25,25
26,38
27,30
28,28
29,31
30,35
31,31
32,47
33,44
34,47
35,73
36,58
37,46
38,180
39,105
40,66
41,301
42,48
43,46
44,219
45,68
46,789
47,410
48,388
49,251
50,894
51,432
52,439
53,285
54,1142
55,147
56,282
57,33241
58,1959
59,819
60,1346336
61,255
62,460
63,89
64,1239
65,202
66,284
67,150
68,173
69,134
70,212
71,168
72,166
73,153
74,812
75,407
76,435
77,317
78,203
79,203
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,23
21,21
22,31
23,23
24,25
25,26
26,30
27,36
28,53
29,29
30,47
31,34
32,36
33,36
34,55
35,54
36,45
37,44
38,286
39,43
40,49
41,93
42,68
43,151
44,90
45,213
46,2113
47,1018
48,99
49,421
50,1476
51,251
52,178
53,290
54,8034
55,5759
56,171
57,225
58,5455
59,2036
60,1030
61,1182
62,305
63,393
64,174
65,1354
66,114
67,124
68,102
69,130
70,186
71,114
72,301
73,134
74,143
75,356
76,258
77,365
78,387
79,323
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,13
14,14
15,15
16,16
17,18
18,18
19,24
20,21
21,22
22,22
23,25
24,25
25,31
26,28
27,29
28,38
29,32
30,56
31,45
32,44
33,42
34,46
35,46
36,61
37,47
38,95
39,70
40,174
41,99
42,149
43,46
44,69
45,299
46,56
47,213
48,4727
49,4119
50,6820
51,3489
52,2893
53,137
54,1021
55,263
56,6760
57,1525
58,98
59,163
60,101
61,600963
62,129
63,163
64,452
65,133
66,133
67,278
68,198
69,341
70,249
71,506
72,165
73,220
74,131
75,162
76,199
77,337
78,304
79,177
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,15
15,15
16,16
17,18
18,19
19,19
20,20
21,25
22,32
23,29
24,68
25,27
26,28
27,30
28,43
29,33
30,35
31,49
32,35
33,48
34,40
35,39
36,85
37,46
38,178
39,44
40,100
41,254
42,1168
43,212
44,5528
45,2596
46,117
47,253
48,218
49,767
50,5556
51,567
52,1797
53,259
54,4094
55,142
56,5333
57,2593
58,165
59,100
60,874
61,411
62,381
63,109
64,260
65,234
66,360
67,108
68,176
69,197
70,224
71,168
72,128
73,229
74,107
75,144
76,377
77,194
78,387
79,273
80,310
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,11
11,11
12,12
13,13
14,14
15,15
16,17
17,17
18,18
19,19
20,20
21,21
22,23
23,50
24,30
25,27
26,27
27,72
28,31
29,50
30,34
31,35
32,73
33,63
34,116
35,111
36,123
37,60
38,148
39,249
40,138
41,144
42,138
43,45
44,55
45,761
46,1491
47,50
48,165
49,109
50,63
51,847
52,101
53,154
54,706
55,1526
56,869
57,672
58,2375
59,358
60,147
61,67
62,160
63,110
64,3468
65,132
66,91
67,960
68,225
69,238
70,848
71,349
72,334
73,209
74,249
75,169
76,365
77,223
78,347
79,346
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,8
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,16
16,16
17,18
18,18
19,20
20,21
21,21
22,22
23,23
24,24
25,25
26,28
27,28
28,29
29,31
30,33
31,32
32,78
33,63
34,45
35,55
36,48
37,42
38,87
39,56
40,67
41,265
42,392
43,774
44,153
45,74
46,5178
47,566
48,532
49,271
50,1236
51,6574
52,1143
53,10115
54,74330
55,112
56,21247
57,119
58,269
59,795
60,35471
61,3978
62,152127
63,457
64,166
65,134992
66,146
67,182
68,91
69,215
70,263
71,350
72,482
73,173
74,148
75,348
76,250
77,139
78,338
79,389
80,306
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,15
14,14
15,15
16,16
17,17
18,19
19,19
20,20
21,21
22,41
23,23
24,24
25,25
26,27
27,38
28,28
29,29
30,31
31,34
32,52
33,64
34,40
35,100
36,46
37,58
38,53
39,44
40,140
41,77
42,266
43,92
44,171
45,120
46,308
47,2684
48,18193
49,18321
50,295
51,3440
52,1463
53,865
54,122
55,1157
56,3367
57,2314
58,192
59,73
60,1088677
61,583
62,14353
63,116
64,43335
65,103
