EmptyCells,Comparisons
0,0
1,27
2,102
3,168
4,197
5,201
6,401
7,337
8,420
9,381
10,497
11,609
12,514
13,688
14,643
15,808
16,790
17,804
18,877
19,1087
20,1009
21,1074
22,1144
23,1252
24,1233
25,1508
26,1525
27,1522
28,2202
29,1447
30,1729
31,1831
32,2503
33,2118
34,2563
35,4164
36,5282
37,3064
38,10090
39,4026
40,14551
41,3172
42,11215
43,14535
44,153235
45,11994
46,493945
47,4149
48,10092
49,23669
50,441938
51,11098
52,9830
53,272181
54,97079
55,89421
56,669047
57,22096
58,22143
59,16967
60,3383994
61,21687861
62,115520
63,11987
64,1379528
65,14341
66,33405
67,5841
68,9817
69,10082
70,10255
71,17263
72,12527
73,15344
74,11292
75,11922
76,21379
77,27215
78,16392
79,13782
80,27940
81,28062
0,0
1,55
2,94
3,115
4,206
5,207
6,281
7,426
8,347
9,453
10,471
11,560
12,570
13,1238
14,638
15,1047
16,818
17,915
18,990
19,1071
20,1093
21,928
22,1113
23,1280
24,2107
25,1737
26,1311
27,1382
28,1860
29,2220
30,3637
31,3578
32,2062
33,1919
34,7062
35,5359
36,15594
37,4169
38,3483
39,4356
40,19430
41,6143
42,16167
43,19738
44,10229
45,240060
46,14245
47,501412
48,178172
49,14541
50,172811
51,160398
52,38249
53,34733
54,1039450
55,10571
56,280329
57,100188
58,122118
59,843127
60,338318
61,109840480
62,31366
63,6953
64,2129096629
65,22292
66,9936
67,7509
68,6405
69,14093
70,88543
71,6624
72,16641
73,9172
74,14028
75,10844
76,18959
77,18566
78,22895
79,27043
80,27965
81,28062
0,0
1,33
2,117
3,104
4,174
5,285
6,360
7,402
8,427
9,543
10,479
11,545
12,645
13,635
14,601
15,675
16,771
17,938
18,931
19,1062
20,947
21,1754
22,1227
23,1469
24,1260
25,1285
26,2818
27,1565
28,1569
29,1501
30,3055
31,2099
32,1702
33,2151
34,3112
35,7320
36,2221
37,4994
38,14774
39,4263
40,7528
41,27342
42,7371
43,4398
44,9897
45,36853
46,10175
47,8863
48,155470
49,10856
50,5244
51,282959
52,375585
53,664566
54,787307
55,30133
56,13336
57,30297
58,100958
59,9774
60,283051
61,18542
62,12480
63,4861
64,9944
65,22784
66,8065
67,13983
68,10738
69,40970
70,24565
71,11063
72,9801
73,14687
74,21666
75,10312
76,8787
77,12025
78,15489
79,27945
80,28032
81,28062
0,0
1,61
2,116
3,160
4,158
5,243
6,348
7,302
8,500
9,458
10,587
11,513
12,592
13,658
14,702
15,730
16,817
17,778
18,1005
19,1002
20,1523
21,985
22,1287
23,1230
24,1286
25,1660
26,1293
27,1735
28,1584
29,6280
30,1729
31,2768
32,1615
33,2002
34,2783
35,2653
36,4413
37,2941
38,2724
39,2728
40,9592
41,5634
42,27988
43,26858
44,97723
45,16445
46,22849
47,115147
48,182020
49,129963
50,15166
51,13912
52,102306
53,9505
54,55161
55,82761
56,396027
57,14165
58,69056
59,427830
60,6323370
61,93751
62,168846
63,10659
64,11137240
65,330752
66,73346
67,15685
68,45235
69,14762
70,13037
71,23386
72,30401
73,10915
74,16051
75,21761
76,21539
77,20824
78,17774
79,24935
80,27927
81,28062
0,0
1,62
2,69
3,121
4,223
5,227
6,318
7,351
8,410
9,449
10,440
11,509
12,677
13,603
14,737
15,824
16,773
17,806
18,1076
19,1002
20,1193
21,1006
22,1118
23,1194
24,1727
25,1348
26,1526
27,3488
28,1563
29,1728
30,1571
31,1615
32,2398
33,2432
34,2335
35,3600
36,2794
37,3184
38,2045
39,8089
40,2503
41,3882
42,36991
43,6332
44,60746
45,40387
46,8572
47,11370
48,50817
49,5401
50,27623
51,108303
52,14936
53,8399
54,1460081
55,332216
56,813900
57,16513
58,10725
59,44210
60,39502
61,5374
62,304386
63,236504
64,7592
65,50125
66,6184
67,12545
68,6646
69,5477
70,8448
71,9478
72,10328
73,21033
74,15335
75,26568
76,10116
77,14109
78,22644
79,27879
80,22850
81,28062
0,0
1,55
2,98
3,122
4,178
5,274
6,293
7,292
8,340
9,362
10,451
11,538
12,641
13,617
14,683
15,781
16,817
17,830
18,909
19,1008
20,1054
21,1159
22,1240
23,1271
24,1293
25,1260
26,1693
27,1394
28,2676
29,1708
30,1667
31,2075
32,2655
33,4059
34,1902
35,2241
36,4535
37,2205
38,5385
39,5647
40,4718
41,5239
42,14906
43,32097
44,6943
45,44074
46,3131
47,3832
48,60688
49,46827
50,365763
51,54837
52,3297780
53,2074241
54,138820
55,3824
56,190084
57,158259
58,148528
59,199124
60,16899
61,62175
62,26783
63,140192
64,77835
65,7969
66,641520
67,7148
68,20550
69,10927
70,9287
71,20129
72,19360
73,11195
74,27042
75,11350
76,11088
77,27230
78,10422
79,27744
80,27972
81,28062
0,0
1,65
2,102
3,170
4,184
5,240
6,233
7,402
8,341
9,457
10,517
11,495
12,542
13,657
14,698
15,805
16,885
17,770
18,1130
19,1073
20,968
21,1073
22,1040
23,1437
24,2089
25,1927
26,1295
27,3732
28,1959
29,3037
30,2895
31,1704
32,7572
33,2586
34,1959
35,3374
36,3185
37,4187
38,4058
39,17196
