EmptyCells,Changes
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,11
11,11
12,12
13,13
14,14
15,15
16,16
17,18
18,18
19,20
20,22
21,21
22,23
23,24
24,50
25,27
26,30
27,30
28,29
29,37
30,39
31,41
32,41
33,73
34,39
35,55
36,145
37,69
38,107
39,64
40,50
41,71
42,125
43,710
44,116
45,149
46,81
47,205
48,304
49,104
50,1407
51,8187
52,470
53,151
54,250
55,97
56,197
57,150
58,2206
59,2041
60,4840
61,2302
62,1592
63,1683
64,108
65,987
66,178
67,167
68,144
69,238
70,137
71,330
72,202
73,148
74,255
75,201
76,385
77,246
78,380
79,309
80,368
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,19
18,18
19,21
20,21
21,22
22,38
23,24
24,29
25,25
26,26
27,27
28,31
29,44
30,33
31,33
32,34
33,44
34,48
35,110
36,71
37,152
38,83
39,47
40,65
41,74
42,77
43,85
44,129
45,3792
46,1234
47,86
48,165
49,80
50,128
51,279
52,228
53,602
54,10693
55,311
56,383
57,9969
58,368
59,79
60,109
61,5114
62,609
63,1438
64,210
65,4829
66,156
67,159
68,299
69,8340
70,4403
71,573
72,139
73,232
74,198
75,377
76,315
77,315
78,265
79,318
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,14
14,15
15,15
16,17
17,18
18,19
19,20
20,22
21,21
22,30
23,25
24,25
25,25
26,26
27,28
28,32
29,34
30,62
31,32
32,34
33,42
34,58
35,65
36,47
37,39
38,366
39,92
40,47
41,103
42,167
43,124
44,98
45,338
46,225
47,1562
48,957
49,584
50,6119
51,120061
52,332
53,670
54,8175
55,1493
56,89
57,83339
58,12496
59,115
60,131
61,137
62,421
63,3446
64,152
65,130
66,139
67,94
68,238
69,2466
70,187
71,303
72,166
73,147
74,199
75,295
76,200
77,316
78,361
79,311
80,340
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,18
18,18
19,19
20,22
21,29
22,23
23,24
24,31
25,25
26,28
27,27
28,37
29,31
30,33
31,44
32,48
33,34
34,46
35,51
36,80
37,50
38,74
39,178
40,649
41,77
42,52
43,83
44,138
45,108
46,52
47,68
48,278
49,1570
50,67
51,683
52,5708
53,1138
54,1687
55,17948
56,1789
57,2734
58,139
59,414
60,172558
61,257
62,3047
63,501223
64,3860
65,470
66,180
67,90
68,163
69,91
70,227
71,105
72,328
73,396
74,179
75,179
76,201
77,376
78,321
79,195
80,389
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,24
19,19
20,21
21,28
22,22
23,23
24,25
25,44
26,26
27,44
28,36
29,29
30,51
31,31
32,50
33,38
34,48
35,59
36,113
37,62
38,41
39,71
40,79
41,66
42,188
43,198
44,76
45,951
46,226
47,59
48,499
49,1250
50,190
51,98
52,152
53,254
54,3019
55,238257
56,78152
57,7471
58,646
59,220
60,17809
61,1294
62,114
63,208
64,83
65,444
66,612
67,400
68,371
69,49967
70,147
71,391
72,247
73,340
74,132
75,223
76,169
77,306
78,388
79,389
80,351
81,391
0,0
1,1
2,2
3,3
4,4
5,7
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,14
14,14
15,15
16,16
17,19
18,18
19,21
20,20
21,21
22,24
23,23
24,24
25,26
26,56
27,33
28,30
29,84
30,30
31,40
32,52
33,36
34,36
35,37
36,130
37,58
38,53
39,41
40,213
41,377
42,58
43,152
44,151
45,81
46,84
47,410
48,139
49,175
50,180
51,1956
52,922
53,293
54,7668
55,205
56,426
57,39257
58,115
59,1856
60,325
61,132
62,1236
63,258
64,1193
65,241
66,171
67,145
68,503
69,205
70,171
71,100
72,114
73,200
74,176
75,155
76,157
77,334
78,255
79,273
80,379
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,16
16,16
17,17
18,18
19,19
20,21
21,21
22,23
23,25
24,34
25,27
26,28
27,29
28,28
29,42
30,32
31,36
32,33
33,57
34,60
35,95
36,541
37,206
38,43
39,43
40,56
41,107
42,54
43,51
44,236
45,314
46,147
47,304
48,75
49,3871
50,316
51,100
52,566
53,95
54,32844
55,6714
56,358
57,172
58,421
59,725
60,282
61,139
62,464
63,150
64,164
65,81
66,350
67,93
68,166
69,23100
70,273
71,234
72,301
73,261
74,181
75,296
76,336
77,253
78,309
79,389
80,274
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,12
12,12
13,13
14,14
15,15
16,17
17,17
18,19
19,19
20,21
21,23
22,23
23,23
24,24
25,25
26,46
27,28
28,31
29,30
30,31
31,33
32,59
33,65
34,40
35,46
36,51
37,65
38,53
39,92
40,73
41,514
42,151
43,5039
44,311
45,63
46,3649
47,520
48,4150
49,2692
50,3263
51,9461
52,659
53,40258
54,279
55,1228
56,1184
57,1056
58,3795076
59,646
60,8952
61,1482
62,253
63,242696
64,698
65,1084
66,116
67,130
68,970
69,615
70,215
71,297
72,145
73,357
74,198
75,157
76,252
77,291
78,158
79,333
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,13
14,16
15,15
16,16
17,17
18,18
19,20
20,23
21,23
22,26
23,23
24,25
25,26
26,29
27,42
28,34
29,67
30,48
31,48
32,48
33,36
34,50
35,52
36,61
37,42
38,46
39,89
40,119
41,49
42,44
43,201
44,346
45,56
46,2462
47,218
48,398
49,55
50,1589
51,147
52,131
53,115
54,887
55,4177
56,29571
57,244
58,1215
59,17721
60,14180
61,124
62,265
63,161
64,131
65,900
66,339
67,128
68,147
69,657
70,194
71,257
72,451
73,330
74,397
75,199
76,248
77,149
78,178
79,379
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,15
15,15
16,16
17,20
18,18
19,23
20,22
21,23
22,25
23,24
24,30
25,25
26,28
27,33
28,31
29,32
30,30
31,43
32,36
33,42
34,35
35,98
36,75
37,44
38,112
39,105
40,42
41,74
42,48
43,78
44,53
45,205
46,173
47,122
48,100
49,4254
50,895
51,4164
52,114
53,1030
54,39617
55,118265
56,1796
57,12826
58,94767
59,648
60,1096
61,235
62,162
63,152
64,274
65,144
66,954
67,296
68,170
69,198
70,311
71,225
72,264
73,383
74,184
75,193
76,121
77,179
78,345
79,389
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,21
19,20
20,20
21,23
22,33
23,27
24,25
25,25
26,46
27,27
28,29
29,31
30,33
31,38
32,44
33,69
34,85
35,55
36,68
37,72
38,189
39,248
40,71
41,213
42,292
43,45
44,65
45,87
46,1040
47,48
48,71
49,293
50,1889
51,316
52,6596
53,24990
54,385
55,187
56,376
57,9908
58,95
59,118
60,371
61,104
62,107
63,204
64,854
65,455
66,172
67,285
68,379
69,134
70,165
71,189
72,290
73,319
74,122
75,152
76,172
77,334
78,322
79,389
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,12
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,21
19,19
20,20
21,21
22,23
23,23
24,37
25,26
26,26
27,31
28,57
29,29
30,31
31,34
32,55
33,71
34,40
35,99
36,41
37,540
38,41
39,81
40,64
41,260
42,114
43,102
44,165
45,103
46,834
47,167
48,102
49,173
50,112
51,722
52,502
53,138
54,132
55,590
56,514
57,68
58,143
59,328
60,1036
61,141
62,99
63,255
64,591
65,824
66,530
67,151
68,636
69,1048
70,116
71,451
72,158
73,160
74,101
75,381
76,176
77,316
78,167
79,273
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,15
15,15
16,16
17,17
18,18
19,19
20,21
21,22
22,24
23,23
24,66
25,25
26,26
27,28
28,33
29,30
30,34
31,32
32,58
33,46
34,53
35,104
36,57
37,47
38,45
39,170
40,81
41,173
42,182
43,108
44,525
45,1460
46,182
47,205
48,1200
49,312
50,1470
51,570
52,197
53,10820
54,62
55,3397
56,116506
57,1093
58,134
59,2844
60,415
61,270471
62,119
63,18691400
