EmptyCells,Comparisons
0,0
1,63
2,87
3,190
4,215
5,259
6,296
7,302
8,416
9,390
10,580
11,552
12,528
13,604
14,696
15,671
16,761
17,1003
18,771
19,1009
20,1127
21,1157
22,1228
23,1305
24,3231
25,1442
26,1651
27,1691
28,1527
29,2145
30,2118
31,2406
32,2281
33,4874
34,2307
35,3493
36,9928
37,4370
38,7658
39,4007
40,2824
41,4484
42,8805
43,58921
44,8720
45,11240
46,4825
47,16240
48,22792
49,7051
50,117041
51,681444
52,37156
53,11014
54,19242
55,6359
56,14130
57,10559
58,176817
59,169341
60,410514
61,215152
62,124788
63,127505
64,6967
65,83326
66,12969
67,11422
68,9546
69,17115
70,8857
71,23720
72,14302
73,9962
74,18185
75,13535
76,27607
77,17134
78,26843
79,22072
80,26397
81,28062
0,0
1,64
2,81
3,159
4,198
5,285
6,271
7,372
8,427
9,394
10,554
11,493
12,547
13,696
14,728
15,717
16,792
17,992
18,951
19,1114
20,1137
21,1240
22,2394
23,1285
24,1651
25,1375
26,1430
27,1417
28,1628
29,2644
30,1876
31,1810
32,1725
33,2555
34,2931
35,7532
36,4540
37,10747
38,5428
39,3025
40,4124
41,4901
42,5030
43,5870
44,10073
45,305994
46,101723
47,5604
48,11806
49,5119
50,8995
51,23341
52,17730
53,48185
54,842615
55,24905
56,28207
57,866402
58,28168
59,4853
60,7042
61,432863
62,51269
63,124389
64,15632
65,383117
66,10257
67,11258
68,24001
69,688531
70,346114
71,42886
72,9017
73,15890
74,13385
75,26843
76,22590
77,22665
78,18686
79,22820
80,27689
81,28062
0,0
1,42
2,93
3,127
4,195
5,286
6,274
7,369
8,356
9,477
10,467
11,535
12,573
13,674
14,716
15,708
16,805
17,910
18,854
19,1071
20,1085
21,1094
22,1706
23,1394
24,1288
25,1373
26,1458
27,1583
28,1700
29,2016
30,4200
31,1664
32,1865
33,2377
34,3508
35,4045
36,2754
37,2177
38,28548
39,6430
40,2756
41,7181
42,12326
43,8637
44,6531
45,26679
46,16827
47,128054
48,77616
49,45236
50,499118
51,9669840
52,28701
53,59483
54,715966
55,121743
56,5872
57,6706234
58,1023653
59,7979
60,8772
61,9774
62,32683
63,263577
64,10655
65,8956
66,9381
67,5917
