EmptyCells,Time
0,2588
1,1928
2,1362
3,1170
4,2952
5,894
6,676
7,864
8,778
9,715
10,402
11,753
12,659
13,740
14,2231
15,703
16,716
17,696
18,618
19,633
20,632
21,811
22,852
23,783
24,818
25,744
26,776
27,731
28,685
29,583
30,587
31,1666
32,474
33,580
34,1467
35,1368
36,918
37,953
38,927
39,766
40,776
41,789
42,880
43,1589
44,770
45,781
46,744
47,812
48,921
49,758
50,1502
51,4594
52,609
53,493
54,531
55,548
56,571
57,504
58,1242
59,1348
60,4458
61,2335
62,2153
63,2256
64,978
65,2033
66,1100
67,1064
68,1047
69,1101
70,1026
71,704
72,547
73,848
74,721
75,736
76,699
77,713
78,705
79,754
80,607
81,736
0,402
1,493
2,645
3,448
4,458
5,438
6,458
7,457
8,443
9,442
10,451
11,464
12,436
13,409
14,397
15,408
16,319
17,797
18,605
19,490
20,473
21,443
22,451
23,469
24,453
25,514
26,509
27,495
28,491
29,476
30,484
31,460
32,465
33,557
34,614
35,536
36,492
37,558
38,497
39,512
40,497
41,516
42,481
43,477
44,463
45,970
46,608
47,462
48,593
49,488
50,469
51,490
52,483
53,539
54,1965
55,467
56,507
57,2083
58,495
59,480
60,576
61,1528
62,724
63,749
64,442
65,1147
66,434
67,464
68,466
69,1738
70,1097
71,519
72,467
73,478
74,462
75,490
76,494
77,490
78,469
79,472
80,519
81,488
0,475
1,477
2,476
3,444
4,414
5,292
6,522
7,520
8,800
9,694
10,604
11,449
12,459
13,445
14,442
15,462
16,440
17,438
18,450
19,445
20,445
21,446
22,441
23,449
24,457
25,454
26,440
27,452
28,545
29,461
30,449
31,444
32,435
33,440
34,418
35,422
36,426
37,383
38,598
39,572
40,458
41,285
42,292
43,578
44,654
45,498
46,471
47,697
48,565
49,519
50,1418
51,15621
52,617
53,653
54,1845
55,728
56,667
57,12915
58,2209
59,430
60,444
61,433
62,486
63,958
64,422
65,460
66,537
67,549
68,630
69,944
70,477
71,496
72,460
73,529
74,621
75,559
76,531
77,562
78,542
79,562
80,559
81,560
0,466
1,525
2,408
3,409
4,408
5,410
6,424
7,425
8,414
9,428
10,252
11,481
12,462
13,464
14,475
15,439
16,477
17,553
18,567
19,804
20,501
21,493
22,488
23,512
24,683
25,512
26,506
27,520
28,492
29,496
30,501
31,509
32,512
33,493
34,490
35,576
36,581
37,527
38,532
39,617
40,681
41,519
42,498
43,574
44,468
45,406
46,558
47,597
48,849
49,699
50,458
51,377
52,1470
53,825
54,737
55,2953
56,663
57,910
58,445
59,530
60,28201
61,507
62,1009
63,83349
64,996
65,515
66,504
67,451
68,475
69,457
70,494
71,470
72,494
73,531
74,407
75,516
76,482
77,553
78,391
79,363
80,415
81,405
0,400
1,515
2,533
3,514
4,485
5,785
6,640
7,354
8,548
9,536
10,928
11,505
12,544
13,524
14,514
15,535
16,522
17,391
18,375
19,435
20,570
21,531
22,446
23,441
24,451
25,426
26,446
27,446
28,425
29,442
30,450
31,441
32,475
33,7319
34,471
35,530
36,439
37,419
38,442
39,409
40,445
41,434
42,569
43,613
44,542
45,817
46,719
47,739
48,741
49,946
50,599
51,582
52,610
53,614
54,1240
55,36719
56,10656
57,1471
58,620
59,500
60,3194
61,689
62,512
63,532
64,502
65,553
66,578
67,525
68,505
69,8746
70,395
71,474
72,464
73,480
74,443
75,451
76,433
77,460
78,542
79,408
80,490
81,514
0,396
1,549
2,534
3,459
4,445
5,444
6,420
7,422
8,420
9,430
10,431
11,431
12,380
13,422
14,337
15,446
16,507
17,586
18,454
19,568
20,538
21,450
22,424
23,421
24,448
25,440
26,438
27,431
28,410
29,450
30,414
31,416
32,418
33,417
34,403
35,418
36,459
37,425
38,434
39,494
40,453
41,465
42,425
43,445
44,453
45,435
46,397
47,478
48,432
49,454
50,469
51,935
52,645
53,616
54,1544
55,436
56,538
57,7249
58,435
59,684
60,575
61,461
62,1086
63,1060
64,812
65,517
66,514
67,479
68,602
69,417
70,700
71,587
72,625
73,496
74,1612
75,610
76,579
77,549
78,537
79,518
80,553
81,548
0,476
1,468
2,486
3,480
4,483
5,483
6,490
7,481
8,480
9,493
10,477
11,479
12,465
13,488
14,459
15,463
16,458
17,351
18,1152
19,446
20,1455
21,564
22,518
23,522
24,498
25,495
26,503
27,488
28,491
29,405
30,464
31,492
32,454
33,450
34,451
35,435
36,491
37,436
38,411
39,424
40,462
41,456
42,447
43,441
44,469
45,422
46,529
47,408
48,1069
49,984
50,928
51,906
52,580
53,452
54,5099
55,1297
56,471
57,449
58,465
59,560
60,476
61,453
62,505
63,454
64,451
65,447
66,473
67,440
68,441
69,4816
70,496
71,500
72,479
73,604
74,506
75,1202
76,513
77,496
78,483
79,456
80,434
81,480
0,415
1,452
2,415
3,438
4,458
5,448
6,425
7,421
8,443
9,406
10,420
11,418
12,426
13,422
14,435
15,378
16,399
17,418
18,578
19,914
20,463
21,443
22,432
23,421
24,389
25,430
26,460
27,742
28,553
29,470
30,461
31,427
32,476
33,456
34,522
35,522
36,543
37,467
38,457
39,440
40,436
41,607
42,560
43,1318
44,479
45,415
46,962
47,495
48,1493
49,1220
50,928
51,1632
52,762
53,5823
54,467
55,662
56,669
57,637
58,613359
59,525
60,1841
61,651
62,525
63,34416
64,653
65,800
66,547
67,460
68,680
69,602
70,533
71,543
72,606
73,532
74,518
75,500
76,501
77,555
78,587
79,657
80,663
81,631
0,421
1,548
2,445
3,472
4,497
5,508
6,505
7,466
8,513
9,433
10,421
11,419
12,414
13,428
14,441
15,470
16,444
17,434
18,429
19,433
20,424
21,430
22,441
23,491
24,440
25,413
26,498
27,464
28,493
29,603
30,416
31,432
32,620
33,544
34,450
35,438
36,537
37,456
38,444
39,480
40,451
41,453
42,442
43,526
44,479
45,444
46,819
47,434
48,524
49,425
50,732
51,450
52,451
53,433
54,580
55,1005
56,5181
57,513
58,834
59,3348
60,2758
61,415
62,514
63,509
64,508
65,557
66,562
67,487
68,535
69,659
70,494
71,519
72,605
73,444
74,528
75,471
76,443
77,359
78,479
79,531
80,637
81,597
0,532
1,360
2,333
3,507
4,551
5,533
6,470
7,453
8,431
