EmptyCells,Time
0,2964
1,1698
2,1411
3,1159
4,966
5,573
6,1012
7,1071
8,541
9,511
10,639
11,613
12,695
13,626
14,825
15,879
16,789
17,778
18,746
19,785
20,809
21,702
22,834
23,1155
24,874
25,1006
26,1250
27,1308
28,815
29,823
30,842
31,707
32,626
33,642
34,657
35,654
36,664
37,778
38,699
39,691
40,841
41,409
42,617
43,673
44,665
45,680
46,748
47,746
48,754
49,599
50,771
51,817
52,503
53,399
54,388
55,580
56,568
57,619
58,589
59,820
60,570
61,621
62,384
63,649
64,741
65,568
66,504
67,473
68,550
69,509
70,522
71,683
72,429
73,452
74,461
75,437
76,437
77,442
78,448
79,463
80,457
81,533
0,544
1,529
2,578
3,546
4,530
5,527
6,503
7,525
8,463
9,444
10,427
11,477
12,458
13,510
14,344
15,338
16,313
17,488
18,584
19,535
20,573
21,569
22,439
23,563
24,577
25,553
26,559
27,574
28,563
29,366
30,467
31,444
32,450
33,534
34,552
35,573
36,550
37,537
38,537
39,538
40,536
41,536
42,378
43,513
44,562
45,586
46,579
47,561
48,670
49,643
50,553
51,623
52,619
53,626
54,592
55,613
56,583
57,613
58,614
59,614
60,671
61,718
62,618
63,740
64,700
65,727
66,614
67,601
68,673
69,656
70,552
71,486
72,618
73,615
74,614
75,624
76,607
77,720
78,773
79,650
80,801
81,857
0,699
1,623
2,615
3,608
4,558
5,625
6,9333
7,762
8,639
9,670
10,642
11,580
12,699
13,625
14,631
15,598
16,594
17,609
18,622
19,697
20,763
21,609
22,727
23,711
24,825
25,595
26,620
27,748
28,531
29,546
30,410
31,525
32,605
33,705
34,571
35,694
36,615
37,610
38,587
39,598
40,460
41,493
42,651
43,425
44,477
45,455
46,635
47,596
48,680
49,575
50,615
51,629
52,465
53,528
54,501
55,462
56,490
57,512
58,419
59,587
60,556
61,615
62,587
63,595
64,645
65,464
66,465
67,543
68,557
69,585
70,619
71,581
72,538
73,535
74,524
75,565
76,596
77,614
78,624
79,601
80,616
81,623
0,590
1,616
2,602
3,595
4,617
5,592
6,590
7,598
8,625
9,546
10,451
11,496
12,542
13,599
14,581
15,546
16,557
17,524
18,480
19,558
20,553
21,572
22,574
23,474
24,462
25,484
26,602
27,607
28,599
29,676
30,700
31,644
32,670
33,649
34,581
35,558
36,694
37,586
38,584
39,576
40,571
41,573
42,591
43,558
44,574
45,564
46,624
47,700
48,618
49,580
50,1115
51,745
52,419
53,420
54,316
55,314
56,339
57,631
58,709
59,610
60,702
61,574
62,628
63,611
64,607
65,613
66,522
67,556
68,600
69,493
70,579
71,647
72,656
73,657
74,643
75,580
76,579
77,623
78,646
79,617
80,666
81,542
0,524
1,543
2,611
3,643
4,503
5,519
6,847
7,807
8,673
9,684
10,625
11,681
12,636
13,604
14,502
15,505
16,556
17,497
18,510
19,510
20,880
21,788
22,680
23,582
24,551
25,638
26,640
27,562
28,572
29,590
30,578
31,592
32,587
33,579
34,529
35,905
36,633
37,677
38,595
39,646
40,594
41,690
42,515
43,600
44,583
45,608
46,571
47,598
48,548
49,733
50,1029
51,861
52,637
53,813
54,708
55,691
56,701
57,590
58,590
59,508
60,320
61,679
62,688
63,533
64,488
65,635
66,625
67,653
68,647
69,615
70,504
71,597
72,416
73,722
74,610
75,682
76,627
77,627
78,613
79,594
80,610
81,459
0,432
1,426
2,546
3,731
4,726
5,824
6,654
7,677
8,699
9,718
10,648
11,667
12,678
13,671
14,685
15,811
16,645
17,669
18,680
19,586
20,653
21,845
22,619
23,621
24,633
25,603
26,508
27,553
28,577
29,432
30,586
31,595
32,593
33,612
34,601
35,444
36,473
37,584
38,432
39,630
40,625
41,613
42,602
43,621
44,511
45,497
46,617
47,634
48,633
49,683
50,723
51,615
52,651
53,581
54,591
55,575
56,591
57,574
58,582
59,586
60,573
61,569
62,534
63,595
64,581
65,466
66,581
67,572
68,591
69,592
70,570
71,587
72,595
73,616
74,592
75,599
76,590
77,507
78,501
79,477
80,312
81,601
0,720
1,697
2,745
3,834
4,871
5,656
6,810
7,623
8,518
9,605
10,690
11,958
12,878
13,763
14,676
15,687
16,684
17,696
18,689
19,664
20,454
21,477
22,406
23,658
24,777
25,702
26,699
27,686
28,347
29,583
30,678
31,632
32,641
33,575
34,574
35,584
36,624
37,771
38,768
39,587
40,646
41,637
42,447
43,532
44,529
45,835
46,598
47,588
48,493
49,497
50,611
51,606
52,691
53,844
54,675
55,657
56,646
57,651
58,674
59,680
60,599
61,643
62,602
63,614
64,625
65,806
66,788
67,709
68,642
69,691
70,647
71,663
72,666
73,606
74,598
75,590
76,644
77,598
78,589
79,666
80,620
81,608
0,659
1,669
2,646
3,658
4,666
5,656
6,636
7,636
8,709
9,695
10,701
11,507
12,517
13,544
14,944
15,898
16,529
17,343
18,561
19,641
20,485
21,651
22,733
23,639
24,354
25,337
26,647
27,640
28,643
29,643
30,511
31,455
32,454
33,739
34,465
35,459
36,472
37,484
38,971
39,890
40,823
41,642
42,681
43,690
44,715
45,655
46,615
47,454
48,656
49,549
50,708
51,474
52,807
53,696
54,643
55,707
56,689
57,675
58,708
59,633
60,633
61,648
62,624
63,629
64,447
65,597
66,793
67,809
68,775
69,723
70,651
71,674
72,664
73,670
74,525
75,583
76,626
77,598
78,542
79,532
80,550
81,788
0,714
1,576
2,576
3,587
4,668
5,611
6,437
7,601
8,596
9,597
10,612
11,645
12,808
13,752
14,689
15,668
16,560
17,662
18,661
19,686
20,621
21,603
22,613
23,709
24,649
25,621
26,489
27,886
28,767
29,481
30,870
31,796
32,725
33,745
34,697
35,654
36,715
37,628
38,635
39,629
40,711
41,729
42,495
43,489
44,747
45,644
46,718
47,658
48,639
49,651
50,671
51,605
52,601
53,606
54,607
55,635
56,688
57,428
58,455
59,685
60,767
61,697
62,662
63,649
64,667
65,707
66,679
67,669
68,758
69,707
70,686
71,620
72,631
73,654
74,699
75,708
76,717
77,760
78,801
79,708
80,720
81,678
0,717
1,453
2,462
3,444
4,444
5,502
6,616
7,770
8,681
9,670
10,639
11,647
12,671
13,620
14,636
15,639
16,659
17,641
18,624
19,628
20,618
21,613
22,635
23,649
24,561
25,373
26,329
27,677
28,661
29,609
30,669
31,699
32,515
33,778
34,743
35,459
36,696
37,682
38,771
39,821
40,688
41,818
42,762
43,805
44,617
45,722
46,447
47,455
48,462
49,424
50,729
51,739
52,587
53,737
54,881
55,832
