EmptyCells,Comparisons
0,0
1,27
2,40
3,65
4,52
5,45
6,35
7,43
8,43
9,53
10,66
11,28
12,55
13,50
14,27
15,54
16,44
17,61
18,40
19,30
20,40
21,61
22,44
23,45
24,67
25,61
26,62
27,66
28,56
29,53
30,51
31,60
32,60
33,42
34,63
35,45
36,42
37,35
38,40
39,30
40,42
41,49
42,62
43,56
44,35
45,53
46,27
47,44
48,27
49,31
50,28
51,27
52,63
53,44
54,65
55,27
56,66
57,31
58,42
59,61
60,32
61,65
62,52
63,36
64,44
65,49
66,35
67,41
68,52
69,52
70,44
71,43
72,57
73,27
74,61
75,36
76,50
77,62
78,65
79,60
80,33
81,47
0,0
1,46
2,43
3,34
4,40
5,54
6,58
7,41
8,27
9,44
10,59
11,67
12,41
13,27
14,31
15,49
16,50
17,70
18,59
19,60
20,51
21,64
22,43
23,35
24,27
25,30
26,61
27,56
28,44
29,43
30,35
31,51
32,50
33,27
34,68
35,42
36,27
37,27
38,33
39,50
40,53
41,59
42,37
43,49
44,27
45,42
46,39
47,65
48,47
49,27
50,63
51,32
52,50
53,50
54,48
55,38
56,66
57,43
58,48
59,43
60,32
61,35
62,41
63,27
64,53
65,34
66,59
67,59
68,27
69,51
70,70
71,42
72,43
73,27
74,27
75,63
76,39
77,37
78,27
79,41
80,60
81,65
0,0
1,68
2,55
3,57
4,43
5,59
6,35
7,49
8,46
9,54
10,57
11,60
12,55
13,60
14,67
15,53
16,36
17,46
18,55
19,52
20,51
21,63
22,48
23,67
24,35
25,63
26,54
27,40
28,65
29,69
30,63
31,57
32,59
33,39
34,52
35,27
36,42
37,47
38,40
39,50
40,63
41,46
42,41
43,31
44,48
45,43
46,28
47,45
48,55
49,63
50,35
51,46
52,28
53,48
54,45
55,49
56,53
57,52
58,27
59,48
60,31
61,27
62,40
63,49
64,40
65,39
66,70
67,33
68,28
69,42
70,46
71,63
72,61
73,65
74,35
75,33
76,60
77,31
78,31
79,40
80,55
81,27
0,0
1,61
2,27
3,29
4,52
5,33
6,27
7,59
8,56
9,49
10,62
11,52
12,45
13,68
14,61
15,27
16,58
17,66
18,40
19,31
20,54
21,27
22,61
23,49
24,58
25,65
26,47
27,35
28,43
29,57
30,55
31,29
32,43
33,52
34,36
35,33
36,58
37,37
38,41
39,64
40,43
41,48
42,41
43,43
44,37
45,31
46,34
47,37
48,31
49,49
50,38
51,57
52,54
53,48
54,49
55,61
56,69
57,68
58,60
59,27
60,64
61,38
62,66
63,27
64,36
65,60
66,69
67,32
68,27
69,49
70,27
71,55
72,41
73,41
74,34
75,55
76,67
77,36
78,57
79,46
80,65
81,57
0,0
1,65
2,49
3,69
4,58
5,62
6,59
7,36
8,53
9,27
10,28
11,33
12,27
13,28
14,27
15,53
16,32
17,54
18,44
19,66
20,49
21,35
22,62
23,28
24,37
25,46
26,41
27,50
28,51
29,27
30,69
31,32
32,63
33,38
34,32
35,42
36,42
37,41
38,35
39,62
40,52
41,41
42,41
43,57
44,27
45,60
46,71
47,67
48,44
49,34
50,34
51,33
52,27
53,53
54,63
55,54
56,57
57,42
58,66
59,41
60,41
61,47
62,27
63,68
64,64
65,27
66,47
67,34
68,42
69,62
70,33
71,63
72,27
73,41
74,27
75,27
76,55
77,38
78,53
79,57
80,27
81,55
0,0
1,27
2,28
3,36
4,52
5,27
6,59
7,51
8,59
9,35
10,55
11,61
12,33
13,63
14,52
15,44
16,48
17,27
18,38
19,45
20,51
21,34
22,27
23,57
24,27
25,60
26,63
27,51
28,52
29,29
30,69
31,53
32,70
33,44
34,55
35,44
36,55
37,32
38,52
39,27
40,70
41,41
42,39
43,71
44,35
45,38
46,33
47,69
48,27
49,57
50,31
51,27
52,27
53,29
54,52
55,27
56,51
57,63
58,66
59,63
60,57
61,48
62,56
63,34
64,52
65,48
66,32
67,67
68,47
69,50
70,44
71,36
72,33
73,46
74,59
75,29
76,57
77,33
78,40
79,28
80,40
81,69
0,0
1,57
2,56
3,57
4,70
5,56
6,65
7,43
8,70
9,53
10,35
11,37
12,71
13,58
14,67
15,55
16,48
17,54
18,66
19,58
20,47
21,63
22,54
23,34
24,46
25,35
26,42
27,71
28,54
29,40
30,68
31,66
32,44
33,29
34,49
35,56
36,38
37,59
38,49
39,69
40,64
41,48
42,58
43,49
44,43
45,44
46,47
47,48
48,31
49,30
50,33
51,35
52,40
53,63
54,27
55,57
56,39
57,53
58,37
59,37
60,59
61,41
62,59
63,27
64,35
65,59
66,51
67,33
68,65
69,59
70,36
71,70
72,46
73,33
74,29
75,65
76,43
77,37
78,62
79,30
80,31
81,63
0,0
1,71
2,39
3,48
4,27
5,56
6,54
7,43
8,51
9,54
10,65
11,27
12,35
13,62
14,47
15,42
16,27
17,29
18,42
19,27
20,35
21,67
22,46
23,27
24,42
25,36
26,56
27,46
28,27
29,59
30,60
31,44
32,54
33,42
34,39
35,44
36,42
37,63
38,42
39,63
40,60
41,29
42,62
43,46
44,57
45,44
46,32
47,48
48,27
49,49
50,28
51,54
52,48
53,69
54,66
55,38
56,27
57,52
58,36
59,62
60,36
61,48
