EmptyCells,Changes
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,12
12,12
13,14
14,14
15,15
16,16
17,17
18,18
19,21
20,20
21,21
22,22
23,23
24,24
25,30
26,28
27,29
28,37
29,29
30,32
31,33
32,42
33,38
34,43
35,65
36,76
37,49
38,140
39,65
40,201
41,52
42,152
43,187
44,1885
45,167
46,5778
47,66
48,141
49,314
50,5512
51,154
52,141
53,3329
54,1239
55,1160
56,8206
57,257
58,286
59,230
60,41548
61,252111
62,1312
63,164
64,15323
65,179
66,407
67,96
68,148
69,149
70,148
71,244
72,175
73,218
74,166
75,178
76,302
77,380
78,233
79,203
80,390
81,391
