EmptyCells,Changes
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,20
20,21
21,21
22,25
23,26
24,29
25,28
26,29
27,34
28,33
29,34
30,37
31,38
32,49
33,55
34,58
35,59
36,70
37,54
38,96
39,92
40,160
41,121
42,188
43,225
44,562
45,902
46,1031
47,956
48,3094
49,1983
50,1246
51,1480
52,11275
53,7981
54,12368
55,4290
56,13711
57,25209
58,781
59,630499
60,157548
61,38553
62,11283
63,328
64,3200
65,8919
66,217
67,246
68,200
69,181
70,287
71,343
72,246
73,216
74,259
75,251
76,286
77,260
78,301
79,314
80,346
81,391
