EmptyCells,Comparisons
0,0
1,58
2,102
3,91
4,154
5,226
6,274
7,284
8,399
9,501
10,481
11,549
12,735
13,663
14,766
15,677
16,727
17,1050
18,983
19,995
20,1042
21,1097
22,1245
23,1280
24,1113
25,2404
26,2026
27,1646
28,1611
29,2193
30,1888
31,3034
32,5424
33,2204
34,3215
35,6546
36,8535
37,2928
38,5330
39,15232
40,3720
41,3374
42,5017
43,16178
44,21092
45,99996
46,68740
47,86198
48,318662
49,31483
50,11280
51,161223
52,59279
53,129041
54,462282
55,10341
56,58726
57,3562
58,51418
59,823042507
60,17845
61,126400
62,26793
63,21972
64,33185
65,245576
66,12289
67,15014
68,12118
69,12161
70,19087
71,125299
72,22220
73,10092
74,15838
75,6617
76,19330
77,27586
78,21899
79,27849
80,27986
81,28062
0,0
1,48
2,112
3,99
4,152
5,196
6,234
7,380
8,322
9,404
10,582
11,760
12,599
13,562
14,728
15,869
16,719
17,754
18,905
19,1160
20,1082
21,955
22,1056
23,1085
24,1564
25,2051
26,1372
27,1912
28,1715
29,3167
30,1527
31,3171
32,4179
33,6312
34,5732
35,2889
36,3333
37,4628
38,4431
39,3859
40,4404
41,5564
42,2620
43,14408
44,9896
45,18435
46,10678
47,19071
48,18728
49,182442
50,77676
51,55233
52,20734
53,15806
54,51809
55,19427
56,51225
57,4857
58,12532
59,6894444
60,3819102
61,7438
62,12519
63,22212
64,13958
65,9759
66,18912
67,25756
68,29100
69,13377
70,27583
71,22148
72,15141
73,10149
74,21486
75,12206
76,27512
77,21978
78,24227
79,26032
80,28014
81,28062
0,0
1,65
2,134
3,178
4,233
5,266
6,297
7,365
8,448
9,501
10,454
11,560
12,616
13,709
14,748
15,749
16,745
17,1016
18,985
19,1470
20,936
21,1069
22,1236
23,1181
24,1623
25,1437
26,1605
27,2295
28,1713
29,1644
30,1609
31,2678
32,2008
33,7367
34,3412
35,3448
36,2078
37,8719
38,2264
39,2455
40,5812
41,3213
42,6135
43,6762
44,10821
45,18495
46,192842
47,51842
48,263189
49,4651
50,19756
51,12997
52,179620
53,816721
54,56738
55,7834
56,36226
57,3721922
58,5284
59,216487
60,4070
61,324975
62,23164
63,59154
64,10943
65,21290
66,11445
67,21144
68,11230
69,11715
70,14142
71,13074
72,6112
73,26815
74,26120
75,11084
76,24061
77,21918
78,27752
79,21851
80,19306
81,28062
0,0
1,27
2,78
3,173
4,170
5,219
6,232
7,318
8,299
9,446
10,474
11,714
12,602
13,675
14,695
15,664
16,966
17,788
18,986
19,892
20,1400
21,1206
22,2312
23,1352
24,1563
25,1632
26,1785
27,2139
28,1454
29,1455
30,2805
31,1626
32,1891
33,2863
34,3212
35,1890
36,8986
37,1997
38,3467
39,7999
40,4185
41,11382
42,4161
43,14133
44,7443
45,63118
46,55711
47,11573
48,338174
49,72133
50,23035
51,24252
52,12238247
53,4053722
54,25109
55,4349
56,54721
57,11683
58,7071
59,15401
60,8747
61,13563
62,21133
63,45214
64,13187
