EmptyCells,Comparisons
0,0
1,53
2,96
3,146
4,180
5,235
6,274
7,336
8,385
9,449
10,489
11,557
12,622
13,675
14,729
15,769
16,811
17,871
18,982
19,1037
20,1090
21,1098
22,1386
23,1430
24,1626
25,1511
26,1627
27,1996
28,1883
29,1957
30,2087
31,2158
32,3074
33,3478
34,3684
35,3720
36,4701
37,3315
38,6603
39,6232
40,12018
41,8623
42,14232
43,17138
44,45347
45,70713
46,82065
47,76423
48,255604
49,162895
50,101247
51,119928
52,950068
53,646529
54,1016937
55,352400
56,1179778
57,2013168
58,62975
59,51966303
60,12635670
61,3219633
62,885060
63,25387
64,262538
65,745817
66,15641
67,18335
68,13949
69,12616
70,21274
71,25534
72,17362
73,15081
74,18261
75,17549
76,20194
77,18288
78,21326
79,22305
80,24698
81,28062
