EmptyCells,Recursions
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,21
20,22
21,22
22,26
23,27
24,30
25,29
26,30
27,35
28,34
29,35
30,38
31,39
32,50
33,56
34,59
35,60
36,71
37,55
38,97
39,93
40,161
41,122
42,189
43,226
44,563
45,903
46,1032
47,957
48,3095
49,1984
50,1247
51,1481
52,11276
53,7982
54,12369
55,4291
56,13712
57,25210
58,782
59,630500
60,157549
61,38554
62,11284
63,329
64,3201
65,8920
66,218
67,247
68,201
69,182
70,288
71,344
72,247
73,217
74,260
75,252
76,287
77,261
78,302
79,315
80,347
81,392
