EmptyCells,Time
0,1759
1,1700
2,1205
3,1328
4,586
5,649
6,518
7,675
8,779
9,627
10,422
11,408
12,624
13,646
14,647
15,648
16,657
17,654
18,614
19,835
20,619
21,639
22,677
23,613
24,621
25,622
26,651
27,491
28,588
29,583
30,588
31,587
32,670
33,612
34,585
35,9993
36,606
37,392
38,395
39,441
40,390
41,606
42,9460
43,682
44,769
45,1235
46,1111
47,1299
48,2855
49,746
50,539
51,1588
52,953
53,1028
54,2056
55,381
56,926
57,526
58,726
59,1415114
60,364
61,597
62,386
63,370
64,427
65,796
66,355
67,366
68,326
69,329
70,338
71,557
72,610
73,576
74,405
75,594
76,440
77,410
78,686
79,614
80,506
81,426
0,456
1,358
2,440
3,369
4,372
5,371
6,363
7,456
8,421
9,418
10,499
11,418
12,327
13,450
14,439
15,424
16,525
17,484
18,421
19,459
20,468
21,468
22,437
23,415
24,382
25,370
26,383
27,371
28,474
29,590
30,496
31,343
32,201
33,247
34,418
35,403
36,374
37,422
38,345
39,332
40,407
41,450
42,314
43,349
44,523
45,659
46,392
47,454
48,459
49,678
50,463
51,663
52,472
53,446
54,512
55,422
56,476
57,328
58,331
59,15382
60,5740
61,339
62,359
63,376
64,371
65,500
66,635
67,557
68,469
69,404
70,398
71,432
72,426
73,467
74,686
75,639
76,619
77,549
78,620
79,570
80,424
81,432
0,314
1,378
2,373
3,311
4,303
5,533
6,493
7,516
8,485
9,485
10,465
11,504
12,491
13,427
14,365
15,421
16,347
17,364
18,349
19,375
20,423
21,384
22,413
23,306
24,302
25,306
26,305
27,367
28,386
29,424
30,473
31,405
32,392
33,425
34,369
35,498
36,400
37,514
38,416
39,409
40,429
41,363
42,383
43,388
44,462
45,441
46,643
47,461
48,850
49,365
50,410
51,381
52,727
53,1745
54,563
55,425
56,485
57,5983
58,328
59,695
60,344
61,965
62,466
63,695
64,481
65,510
66,473
67,541
68,399
69,460
70,423
71,483
72,470
73,450
74,440
75,424
76,434
77,435
78,392
79,524
80,621
81,446
0,366
1,439
2,431
3,354
4,340
5,329
6,392
7,361
8,343
9,326
10,311
11,342
12,353
13,315
14,297
15,316
16,368
17,407
18,413
19,475
20,471
21,443
22,404
23,383
24,427
25,312
26,340
27,328
28,335
29,300
30,315
31,314
32,351
33,304
34,362
35,339
36,352
37,333
38,348
39,370
40,370
41,333
42,445
43,441
44,545
45,529
46,631
47,565
48,985
49,485
50,383
51,416
52,18548
53,9270
54,450
55,384
56,494
57,401
58,389
59,449
60,397
61,442
62,426
63,479
64,492
65,781
66,406
67,431
68,439
69,346
70,329
71,353
72,382
73,372
74,413
75,433
76,452
77,455
78,438
79,546
80,468
81,520
0,525
1,298
2,356
3,473
4,449
5,328
6,446
7,466
8,456
9,443
10,435
11,413
12,423
13,370
14,339
15,316
16,289
17,321
18,323
19,443
20,475
21,455
22,434
23,432
24,431
25,387
26,402
27,393
28,350
29,327
30,327
31,332
32,409
33,404
34,382
35,372
36,371
37,325
38,326
39,542
40,729
41,569
42,216
43,419
44,492
45,1449
46,406
47,452
48,966
49,514
50,436
51,393
52,329
53,343
54,367
55,748
56,2083
57,552
58,417
59,614
60,580
61,655
62,488
63,488
64,472
65,527
66,416
67,518
68,554
69,468
70,555
71,512
72,573
73,309
74,569
75,655
76,237
77,386
78,484
79,464
80,451
81,507
0,392
1,405
2,399
3,477
4,479
5,390
6,463
7,555
8,518
9,387
10,472
11,539
12,479
13,489
14,420
15,383
16,400
17,395
18,406
19,413
20,497
21,481
22,523
23,404
24,470
25,469
26,576
27,489
28,343
29,587
30,481
31,402
32,411
33,447
34,454
35,423
36,389
37,498
38,550
39,435
40,519
41,451
42,558
43,511
44,463
45,485
46,554
47,897
48,567
49,336
50,626
51,418
52,410
53,761
54,32983
55,17091
56,676
57,68618
58,623
59,600
60,597
61,722
62,2431
63,638
64,548
65,567
66,493
67,497
68,504
69,537
70,503
71,461
72,689
73,592
74,583
75,579
76,564
77,516
78,510
79,538
80,596
81,666
0,502
1,538
2,536
3,426
4,450
5,594
6,459
7,445
8,424
9,419
10,399
11,375
12,405
13,401
14,382
15,478
16,554
17,389
18,447
19,455
20,515
21,366
22,460
23,494
24,545
25,458
26,432
27,379
28,421
29,397
30,411
31,408
32,413
33,490
34,440
35,411
36,522
37,512
38,500
39,288
40,505
41,628
42,236
43,476
44,470
45,437
46,572
47,479
48,478
49,466
50,624
51,550
52,465
53,500
54,462
55,397
56,351
57,6209
58,676
59,512
60,188309
61,429
62,402
63,402
64,706
65,412
66,501
67,526
68,482
69,537
70,504
71,493
72,446
73,399
74,517
75,446
76,536
77,489
78,559
79,449
80,517
81,475
0,392
1,426
2,408
3,480
4,359
5,363
6,421
7,351
8,302
9,369
10,399
11,378
12,358
13,367
14,356
15,386
16,395
17,588
18,575
19,632
20,457
21,348
22,432
23,410
24,482
25,538
26,476
27,465
28,530
29,541
30,477
31,502
32,515
33,460
34,513
35,505
36,414
37,424
38,496
39,451
40,467
41,313
42,446
43,468
44,478
45,355
46,1267
47,860
48,624
49,520
50,645
51,435
52,468
53,525
54,1446
55,1388
56,414
57,499
58,1367
59,626
60,613
61,760
62,526
63,460
64,415
65,707
66,410
67,549
68,486
69,439
70,482
71,358
72,513
73,455
74,436
75,451
76,403
77,428
78,491
79,414
80,529
81,343
0,376
1,380
2,360
3,523
4,560
5,495
6,503
7,453
8,438
9,431
10,514
11,405
12,402
13,394
14,434
15,400
16,507
17,462
18,437
19,468
20,249
21,224
22,220
23,217
24,338
25,377
26,352
27,360
28,408
29,406
30,357
31,353
32,383
33,311
34,306
35,388
36,394
37,409
38,509
39,649
40,496
41,460
42,495
43,437
44,390
45,395
46,363
47,359
48,1456
49,894
50,1668
51,851
52,786
53,384
54,481
55,507
56,1992
57,684
58,427
59,370
60,411
61,98279
62,451
63,446
64,489
65,443
66,487
67,483
68,468
69,430
70,535
71,558
72,528
73,509
74,473
75,489
76,465
77,427
78,441
79,390
80,389
81,418
0,425
1,449
2,524
3,423
4,626
5,592
6,466
7,474
8,460
9,438
10,358
11,405
12,401
13,418
14,441
15,367
16,397
17,306
18,361
19,355
20,402
21,375
22,461
23,472
24,603
25,527
26,466
27,458
28,433
29,436
30,472
31,384
32,403
33,445
34,430
35,448
36,492
37,405
38,314
39,359
40,468
41,472
42,568
43,396
44,1164
45,646
46,340
47,366
48,396
49,491
50,1391
51,664
52,862
53,510
54,1019
55,478
56,1392
57,760
58,432
59,422
60,534
61,438
