EmptyCells,Time
0,514
1,489
2,453
3,461
4,427
5,443
6,439
7,458
8,445
9,414
10,413
11,416
12,402
13,402
14,384
15,399
16,418
17,428
18,424
19,441
20,431
21,403
22,424
23,399
24,435
25,423
26,435
27,423
28,424
29,440
30,443
31,409
32,422
33,423
34,413
35,1015
36,430
37,415
38,403
39,412
40,453
41,445
42,994
43,850
44,529
45,558
46,623
47,620
48,995
49,1255
50,672
51,857
52,2025
53,1846
54,4038
55,1600
56,2706
57,5492
58,565
59,89954
60,22061
61,6686
62,2231
63,453
64,870
65,4097
66,456
67,484
68,448
69,433
70,458
71,472
72,522
73,461
74,487
75,501
76,462
77,462
78,480
79,495
80,480
81,466
