EmptyCells,Time
0,10660
1,9610
2,2497
3,2978
4,1261
5,972
6,881
7,4871
8,901
9,3195
10,954
11,1986
12,3288
13,2674
14,870
15,2207
16,848
17,5835
18,1334
19,875
20,4586
21,851
22,893
23,943
24,795
25,753
26,7599
27,850
28,1537
29,875
30,678
31,500
32,1120
33,927
34,1015
35,763
36,958
37,865
38,877
39,829
40,969
41,580
42,778
43,804
44,5855
45,924
46,19772
47,12891
48,4775
49,4404
50,8143
51,2365
52,1091
53,10611
54,2392
55,3048
56,13680
57,2945
58,1915
59,996
60,41994
61,174701
62,987
63,572
64,6014
65,492
66,1731
67,1026
68,838
69,891
70,917
71,781
72,709
73,725
74,752
75,876
76,824
77,811
78,950
79,897
80,1000
81,752
0,599
1,628
2,602
3,611
4,620
5,640
6,577
7,573
8,498
9,624
10,581
11,547
12,531
13,425
14,498
15,894
16,896
17,698
18,852
19,581
20,633
21,1033
22,658
23,613
24,579
25,554
26,557
27,627
28,553
29,761
30,611
31,585
32,688
33,680
34,385
35,407
36,534
37,1308
38,1362
39,2270
40,1436
41,704
42,824
43,722
44,812
45,1370
46,508
47,3681
48,1297
49,1209
50,887
51,853
52,488
53,539
54,2217
55,441
56,963
57,715
58,658
59,2318
60,1161
61,188496
62,663
63,611
64,5078613
65,537
66,527
67,480
68,477
69,546
70,640
71,470
72,550
73,537
74,481
75,740
76,1208
77,473
78,478
79,543
80,612
81,642
0,467
1,568
2,457
3,445
4,431
5,438
6,291
7,464
8,484
9,575
10,705
11,2439
12,932
13,533
14,553
15,541
16,576
17,551
18,563
19,976
20,515
21,592
22,509
23,512
24,547
25,529
26,542
27,567
28,528
29,638
30,531
31,539
32,461
33,446
34,453
35,403
36,394
37,465
38,461
39,619
40,518
41,716
42,561
43,1117
44,626
45,672
46,486
47,610
48,1073
49,573
50,571
51,1086
52,1314
53,1709
54,2166
55,749
56,513
57,578
58,711
59,460
60,1081
61,631
62,439
63,428
64,738
65,735
66,778
67,698
68,764
69,937
70,746
71,1009
72,752
73,790
74,731
75,702
76,663
77,658
78,596
79,522
80,790
81,590
0,490
1,461
2,470
3,527
4,590
5,538
6,521
7,551
8,557
9,562
10,553
11,551
12,718
13,958
14,708
15,759
16,767
17,655
18,620
19,534
20,520
21,1037
22,571
23,612
24,608
25,939
26,836
27,1000
28,565
29,921
30,632
31,750
32,756
33,418
34,414
35,429
36,426
37,546
38,868
39,1101
40,813
41,1097
42,1120
43,594
44,835
45,514
46,678
47,1001
48,1118
49,904
50,745
51,1025
52,1032
53,745
54,1200
55,1012
56,2171
57,821
58,1132
59,2661
60,19695
61,1229
62,1425
63,870
64,35877
65,2758
66,843
67,825
68,883
69,788
70,922
71,2166
72,1341
73,2033
74,949
75,851
76,783
77,768
78,1223
79,640
80,657
81,640
0,655
1,719
2,716
3,694
4,491
5,602
6,641
7,607
8,1023
9,2216
10,1233
11,1636
12,1799
13,1252
14,411
15,752
16,707
17,1061
18,1486
19,1757
20,1146
21,766
22,584
23,829
24,1632
25,1401
26,754
27,566
28,625
29,658
30,1420
31,976
32,1955
33,1310
34,584
35,625
36,712
37,578
38,1336
39,696
40,683
41,1111
42,1500
43,645
44,670
45,1270
46,1879
47,1424
48,1378
49,1533
50,1531
51,925
52,655
53,629
54,5717
55,2409
56,2791
57,557
58,524
59,889
60,589
61,450
62,1175
63,1730
64,515
65,685
66,532
67,517
68,504
69,612
