EmptyCells,Changes
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,12
12,12
13,14
14,14
15,15
16,16
17,17
18,18
19,21
20,20
21,21
22,22
23,23
24,24
25,30
26,28
27,29
28,37
29,29
30,32
31,33
32,42
33,38
34,43
35,65
36,76
37,49
38,140
39,65
40,201
41,52
42,152
43,187
44,1885
45,167
46,5778
47,66
48,141
49,314
50,5512
51,154
52,141
53,3329
54,1239
55,1160
56,8206
57,257
58,286
59,230
60,41548
61,252111
62,1312
63,164
64,15323
65,179
66,407
67,96
68,148
69,149
70,148
71,244
72,175
73,218
74,166
75,178
76,302
77,380
78,233
79,203
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,20
14,14
15,19
16,16
17,18
18,21
19,21
20,21
21,21
22,22
23,23
24,36
25,29
26,26
27,27
28,32
29,37
30,58
31,56
32,37
33,36
34,96
35,82
36,205
37,64
38,56
39,68
40,260
41,89
42,207
43,266
44,133
45,3049
46,191
47,6141
48,2355
49,198
50,2124
51,1934
52,469
53,449
54,12255
55,147
56,3091
57,1139
58,1475
59,10362
60,4313
61,1249951
62,387
63,109
64,24501943
65,298
66,152
67,116
68,99
69,208
70,1159
71,108
72,229
73,140
74,199
75,162
76,270
77,263
78,320
79,382
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,10
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,20
20,20
21,30
22,24
23,28
24,24
25,26
26,46
27,27
28,29
29,29
30,50
31,38
32,33
33,38
34,52
35,107
36,39
37,76
38,195
39,65
40,109
41,368
42,107
43,64
44,140
45,456
46,143
47,125
48,2002
49,151
50,81
51,3731
52,4611
53,7938
54,9891
55,396
56,165
57,383
58,1203
59,138
60,3545
61,237
62,168
63,80
64,144
65,308
66,125
67,204
68,156
69,527
70,348
71,161
72,146
73,212
74,304
75,155
76,134
77,177
78,223
79,389
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,10
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,20
20,26
21,21
22,24
23,23
24,24
25,28
26,26
27,31
28,30
29,91
30,32
31,47
32,32
33,38
34,47
35,45
36,67
37,50
38,44
39,46
40,132
41,86
42,366
43,366
44,1278
45,218
46,301
47,1447
48,2330
49,1655
50,199
51,193
52,1302
53,136
54,692
55,976
56,5011
57,198
58,898
59,5312
60,78170
61,1155
62,2138
63,153
64,139516
65,4011
66,878
67,224
68,605
69,201
70,190
71,311
72,411
73,165
74,231
75,305
76,303
77,296
78,254
79,350
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,16
16,16
17,17
18,20
19,19
20,22
21,21
22,22
23,24
24,29
25,25
26,27
27,51
28,28
29,32
30,30
31,31
32,43
33,41
34,43
35,57
36,46
37,51
38,38
39,114
40,44
41,64
42,494
43,96
44,766
45,530
46,127
47,148
48,628
49,79
50,360
51,1395
52,198
53,125
54,18051
55,3661
56,9233
57,219
58,141
59,571
60,502
61,88
62,3710
63,2593
64,113
65,629
66,98
67,183
68,101
69,88
70,128
71,144
72,148
73,287
74,217
75,369
76,148
77,204
78,311
79,389
80,319
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,23
23,23
24,25
25,26
26,31
27,27
28,44
29,31
30,31
31,36
32,45
33,62
34,35
35,42
36,71
37,42
38,77
39,86
40,75
41,78
42,211
43,425
44,96
45,559
46,55
47,63
48,694
49,585
50,4541
51,692
52,40170
53,23532
54,1831
55,62
56,2331
57,2038
58,1810
59,2591
60,233
61,782
62,359
63,1744
64,939
65,123
66,7623
67,109
68,253
69,152
70,142
71,286
72,273
73,169
74,383
75,168
76,166
77,380
78,156
79,386
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,15
15,16
16,17
17,17
18,21
19,20
20,20
21,22
22,22
23,26
24,34
25,32
26,26
27,59
28,36
29,50
30,49
31,34
32,101
33,42
34,36
35,55
36,51
37,65
38,62
39,228
40,260
41,158
42,77
43,123
44,108
45,244
46,821
47,860
48,260
49,5083
50,2410
51,13046
52,1969
53,142
54,792
55,521
56,394
57,225
58,1387
59,103
60,346
61,927
62,1375
63,175
64,96
65,81
66,381
67,111
68,175
69,119
70,117
71,157
72,239
73,401
74,333
75,200
76,185
77,270
78,338
79,389
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,23
23,53
24,27
25,26
26,28
27,30
28,28
29,46
30,48
31,54
32,38
33,34
34,112
35,42
36,44
37,48
38,181
39,42
40,50
41,71
42,108
43,162
44,600
45,63
46,289
47,82
48,175
49,57
50,666
51,5412
52,1326
53,19084
54,95
55,1918
56,1549
57,2373
58,468
59,3172
60,106
61,1552
62,136
63,406
64,213
65,160
66,212
67,228
68,280
69,181
70,556
71,138
72,106
73,127
74,277
75,142
76,166
77,285
78,247
79,389
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,11
10,10
11,11
12,12
13,13
14,14
15,15
16,17
17,29
18,20
19,19
20,23
21,22
22,23
23,28
24,24
25,31
26,29
27,30
28,31
29,29
30,45
31,82
32,64
33,36
34,35
35,57
36,93
37,55
38,60
39,65
40,64
41,105
42,61
43,236
44,135
45,121
46,221
47,152
48,247
49,701
50,1074
51,104
52,1821
53,93
54,94462
55,555
56,316
57,109
58,142
59,546
60,287
61,141
62,112
63,161
64,159
65,512
66,188
67,350
68,158
69,145
70,763
71,139
72,164
73,361
74,292
75,262
76,319
77,202
78,388
79,266
80,390
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,12
11,11
12,12
13,13
14,15
15,15
16,16
17,17
18,18
19,19
20,25
21,21
22,22
23,23
24,24
25,30
26,26
27,34
28,30
29,29
30,57
31,39
32,48
33,39
34,70
35,40
36,44
37,79
38,156
39,312
40,174
41,67
42,122
43,389
44,89
45,86
46,147
47,92
48,1430
49,838
50,301
51,237
52,181
53,259
54,241
55,23224
56,14630
57,1845
58,2692
59,52859
60,76
61,389
62,5001
63,1166
64,294
65,14382
66,5658
67,311
68,262
69,283
70,140
71,297
72,581
73,161
74,221
75,185
76,386
77,283
78,178
79,203
80,389
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,13
14,14
15,15
16,18
17,17
18,36
19,19
20,30
21,22
22,22
23,25
24,24
25,25
26,31
27,51
28,30
29,36
30,30
31,50
32,32
33,34
34,36
35,136
36,46
37,49
38,62
39,75
40,236
41,141
42,115
43,51
44,1004
45,332
46,135
47,137
48,151
49,254
50,2584
51,674
52,542
53,654
54,966
55,191
56,123
57,270
58,1766
59,877
60,442
61,2416594
62,117
63,98528
64,121325
65,94
66,166
67,165
68,807
69,326
70,207
71,282
72,171
73,411
74,159
75,138
76,412
77,189
78,387
79,336
80,310
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,18
17,17
18,18
19,19
20,20
21,21
22,32
23,23
24,24
25,46
26,39
27,27
28,37
29,32
30,34
31,35
32,55
33,36
34,35
35,113
36,36
37,93
38,98
39,90
40,66
41,104
42,65
43,178
44,545
45,230
46,238
47,10268
48,2802
49,233
50,294
51,191
52,299
53,1556
54,802
55,193
56,465
57,3648
58,84
59,525108
60,5758
61,335
62,1167
63,296
64,1872
65,141
66,391
67,491
68,112
69,199
70,210
71,579
72,235
73,351
74,180
75,2053
76,157
77,326
78,347
79,279
80,274
81,391
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,17
17,17
18,18
19,20
20,21
21,21
22,25
23,23
24,26
25,26
26,28
27,27
28,28
29,29
30,34
31,32
32,46
33,51
34,64
35,41
36,81
37,61
38,47
39,253
40,203
41,46
42,73
43,137
44,525
45,71
46,1044
47,76
48,1650
49,58
50,253
51,340
52,600
53,31455
54,4367
55,126
56,254
57,156
58,152
59,277
60,131
61,307
62,526
63,165
